DEGREE,FREQUENCY,NODES_NUM,DEGREE_N_NODES,,,,,,,,
1,0.1577342279,"78,427,854",12370757,,,,,,,,
2,0.1096142577,"78,427,854",8596811,,,,,,,,
3,0.07319504114,"78,427,854",5740530,,,,,,,,
4,0.05883289883,"78,427,854",4614138,,,,,,,,
5,0.04871795931,"78,427,854",3820845,,,,,,,,
6,0.04202175416,"78,427,854",3295676,,,,,,,
7,0.0367475948,"78,427,854",2882035,,,,,,,,
8,0.03265271035,"78,427,854",2560882,,,,,,,,
9,0.02924714732,"78,427,854",2293791,,,,,,,,
10,0.02645954076,"78,427,854",2075165,,,,,,,,
11,0.02402370974,"78,427,854",1884128,,,,,,,,
12,0.02196722098,"78,427,854",1722842,,,,,,,,
13,0.02014835189,"78,427,854",1580192,,,,,,,,
14,0.01855381635,"78,427,854",1455136,,,,,,,,
15,0.01710804174,"78,427,854",1341747,,,,,,,,
16,0.01584995555,"78,427,854",1243078,,,,,,,,
17,0.01465914138,"78,427,854",1149685,,,,,,,,
18,0.01367335641,"78,427,854",1072372,,,,,,,,
19,0.01273328223,"78,427,854",998644,,,,,,,,
20,0.01185676966,"78,427,854",929901,,,,,,,,
21,0.01111151148,"78,427,854",871452,,,,,,,,
22,0.01039228996,"78,427,854",815045,,,,,,,,
23,0.009708566041,"78,427,854",761422,,,,,,,,
24,0.00912877203,"78,427,854",715950,,,,,,,,
25,0.008573420867,"78,427,854",672395,,,,,,,,
26,0.008061090133,"78,427,854",632214,,,,,,,,
27,0.007584142236,"78,427,854",594808,,,,,,,,
28,0.007150610037,"78,427,854",560807,,,,,,,,
29,0.006710919312,"78,427,854",526323,,,,,,,,
30,0.006338130838,"78,427,854",497086,,,,,,,,
31,0.005981879856,"78,427,854",469146,,,,,,,,
32,0.00565272384,"78,427,854",443331,,,,,,,,
33,0.005328668052,"78,427,854",417916,,,,,,,,
34,0.005036412191,"78,427,854",394995,,,,,,,,
35,0.004773699405,"78,427,854",374391,,,,,,,,
36,0.004513281723,"78,427,854",353967,,,,,,,,
37,0.004278122923,"78,427,854",335524,,,,,,,,
38,0.00407297897,"78,427,854",319435,,,,,,,,
39,0.003862033507,"78,427,854",302891,,,,,,,,
40,0.00366306083,"78,427,854",287286,,,,,,,,
41,0.00347045069,"78,427,854",272180,,,,,,,,
